Spanish,English
semanas,weeks
coche,car
peor,worse
mucha,a lot
disculpe,excuse me
diré,I'll say
anoche,last night
perder,lose
vámonos,Let's go
nave,ship
cielo,darling
habrá,there will be
orden,order
segura,safe
querida,Dear
niña,little girl
increíble,incredible
además,what's more
deben,They must
libro,book
calle,street
café,coffee
piensas,You think
hacemos,we make
especial,special
queremos,we want
irme,Go
perfecto,perfect
buscar,Search
odio,hatred
piensa,think
oficina,office
hablas,speak
libre,free
agente,agent
york,York
llamar,to call
mala,bad
detrás,behind
viste,dresses
dile,tell him
grandes,large
recuerdas,remember
real,real
estaban,They were
mía,mine
frente,front
perdido,lost
llamo,called
muertos,dead
millones,millions
asesino,assassin
sueño,sleep
quisiera,I would like
habría,there would be
hará,will do
viaje,trip
probablemente,probably
resto,rest
estaré,I will be
maldición,damn
lamento,lament
muchacho,young guy
avión,airplane
ropa,clothing
fuerza,strength
llamado,called
oído,ear
dado,given
encima,over
negro,black
usar,use
información,information
uds,You
preguntas,questions
tuvo,He had
secreto,secret
vuelve,Come back
miren,Look
quieras,You want
haría,would do
acaba,just
otras,others
incluso,even
sientes,you feel
deberíamos,we should
haz,make
decirte,tell you
boca,mouth
dolor,pain
baño,bath
adentro,indoors
profesor,professor
habitación,room
daño,damage
tuyo,yours
seas,You are
noticias,news
demás,the rest
querido,Dear
duro,Lasted
poner,put
prueba,Test
mire,Look
tonto,fool
campo,countryside
siendo,being
diez,ten
ése,that
tranquilo,calm
asunto,affair
acabó,just
quédate,stay
derecho,law
placer,pleasure
recuerda,remember
estuve,was
tratando,trying
ejército,army
futuro,future
llevar,wear
compañía,company
venido,I come
listos,Ready
haremos,will
sitio,place
verlo,see him
puesto,Market Stall
atención,attention
sino,otherwise
cambiar,change
error,mistake
blanco,white
raro,rare
palabras,words
llegó,I arrive
sal,Salt
pase,happens
mente,mind
sistema,system
película,movie
anda,walk
ello,it
negocio,business
novia,girlfriend
permiso,permission
creí,I believed
suena,sounds
ocurre,occurs
oficial,official
espere,Wait
aire,air
mató,killed
regresar,to return
vio,he saw
hazlo,do it
trasero,rear
grupo,cluster
entendido,it is understood
señorita,Miss
música,music
perra,bitch
conoce,known
empezar,start
siente,Feel
acabo,finished
estúpido,idiot
diferente,different
traje,costume
modo,mode
encontré,I found
mensaje,message
llamada,call
navidad,Christmas
eras,ages
pena,grief
largo,length
entra,enters
piso,flat
foto,Photo
dijeron,They said
médico,medical
accidente,accident
fuiste,you were
imposible,impossible
podríamos,we could
línea,line
propia,own
barco,boat
ganar,gain
normal,normal
segundos,seconds
vive,it lives
mitad,half
quiera,want
tras,after
decirle,Tell him
lindo,pretty
funciona,works
programa,Program
vine,came
abre,opens
sean,Sean
pagar,to pay
fotos,Photos
centro,center
supone,It supposes
basura,trash
situación,situation
mejores,top
vienen,they come
encanta,loves
marido,husband
personal,staff
maestro,teacher
hambre,hunger
ataque,attack
culo,ass
dale,Go ahead
pie,foot
conseguir,get
trabajando,working
gracioso,funny
dejó,let
pudo,could
derecha,right
izquierda,left
próxima,next
pobre,poor
respuesta,response
tipos,types
sentir,feel
tenías,You had
pude,I could
darle,give him
voz,voice
amiga,friend
gustan,like
vista,view
salvo,except
loca,crazy
hotel,hotel
hicieron,they made
ten,Ten
temo,I fear
señal,sign
pelo,hair
llevo,wear
ayer,Yesterday
das,you give
nena,chick
servicio,service
tren,train
bonito,nice
mes,month
tendrá,will have
tendrás,you will have
edad,age
ellas,they
hermosa,beautifull
honor,honor
simplemente,simply
llamas,calls
tengas,Have
corre,runs
baja,short
sol,sun
siéntate,Sit down
dan,give
humano,human
divertido,funny
sexo,sex
vuelto,turned
peligro,danger
mesa,table
siguiente,Next
hablo,talked
disculpa,Sorry
decirme,Tell me
caja,cash register
negocios,business
misión,mission
silencio,silence
sale,comes out
llegado,arrived
estaría,It would
regreso,Return
media,half
estan,are
propio,own self
oro,Prayed
enseguida,right away
linda,pretty
prometo,I promise
esposo,husband
norte,north
hubo,there was
juro,I swear
muerta,dead
interesante,interesting
pensaba,thought
busca,search
terminar,end up
tendré,I will have
completamente,completely
cita,date
siete,seven
cumpleaños,birthday
abogado,attorney
alrededor,around
cerebro,brain
porqué,because
llave,wrench
santo,holy
hermoso,handsome
necesario,necessary
edificio,building
irnos,Go
aun,still
tendremos,we will have
vayas,go
doy,give
trae,Bring
salió,he left
ley,law
ahi,over there
verdadero,real
pelea,Fight
banco,bank
terrible,terrible
calma,Calm down
cena,Dinner
daré,I will give
gobierno,government
comprar,to buy
creen,They believe
sargento,sergeant
destino,destiny
existe,exists
hacía,towards
novio,boyfriend
sala,living room
través,through
regalo,gift
iglesia,church
decía,He said
cualquiera,any
excelente,Excellent
esperen,Wait
deseo,desire
alma,soul
diablo,Devil
deje,leave
cuántos,many
espada,sword
estábamos,We were
carne,meat
maravilloso,wonderful
vidas,lives
sucedió,happened
oí,I heard
peligroso,dangerous
dirección,address
libertad,freedom
jesús,Jesus
ocurrió,It occurred
veré,I will see
sueños,dreams
pudiera,could
detective,detective
sorpresa,surprise
tuya,yours
pies,feet
club,club
terminado,finished
infierno,hell
creía,I believed
luna,Moon
salvar,save
carta,letter
estés,be
cielos,Heavens
teniente,lieutenant
encuentra,find
veamos,let's see
quise,I wanted
escúchame,listen to me
necesitan,They need
ambos,both of them
decisión,decision
enemigo,enemy
hicimos,we did
dulce,sweet
pruebas,tests
querías,You wanted
abuelo,grandfather
totalmente,totally
mirando,looking at
vayan,go
carrera,race